Local ID,County,Municipality,On,From,To,Approach,Direction,AADT Year,AADT,AADT Cars,AADT Trucks,Location
534355,Erie,Cheektowaga,FRENCH RD,RT 277 UNION RD,TOWERS BLVD,,2-WAY,1998,18200,,,"(42.86818, -78.744324)"
530601,Erie,HAMBURG/ORCHARD PARK,S WESTERN BLVD,RT 20A BIG TREE RD,RT 179 MILESTRIP RD,BETWEEN,2-WAY,1991,14800,,,"(42.783004, -78.766994)"
534197,Erie,Buffalo,COURT ST,NIAGARA SQUARE,FRANKLIN ST,,2-WAY,1993,4800,,,"(42.88619, -78.87696)"
536433,Erie,Orchard Park,JEWETT-HOLMWOOD,FREEMAN RD,RT 187 TRANSIT RD,,2-WAY,2011,7125,,,"(42.751225, -78.719557)"
534216,Erie,Buffalo,DELAVAN AVE (WEST),ELMWOOD AV,RT 384 DELAWARE AV,,2-WAY,1982,5700,,,"(42.9222, -78.87475)"
530163,Erie,Buffalo,KENSINGTON EXPWY,GRIDER ST,OLYMPIC AV,BETWEEN,2-WAY,1991,108000,,,"(42.929837, -78.822538)"
547045,Niagara,Newfane,DRAKE SETTLEMENT RD,TRANSIT RD,FULLER RD,BETWEEN,2-WAY,2009,800,,,"(43.307111, -78.687771)"
540007,Niagara,Niagara,NIAGARA THRUWAY,RT 182 PORTER AV,RT 31 WITMER RD,,2-WAY,1991,24100,,,"(43.115352, -78.99885)"
534218,Erie,Tonawanda,DELAWARE RD,DELAWARE AVE,KENMORE N VILL LN,,2-WAY,2000,10700,,,"(42.965891, -78.868441)"
540060,Niagara,Royalton,CHESTNUT RIDGE RD,ROYALTON CENTER RD,GASPORT RD,,2-WAY,1976,1450,,,"(43.16499, -78.557948)"
534160,Erie,Hamburg,CLARK ST,RT 62 SOUTH PARK AV,MCKINLEY PKWY,BETWEEN,2-WAY,1992,8900,,,"(42.728191, -78.820407)"
534099,Erie,Elma,BOWEN RD,RT 354 CLINTON ST,LANCASTER/ELMA TN LN (HALL RD),,2-WAY,2018,7925,7275,649,"(42.86046, -78.640383)"
540086,Niagara,Pendleton,CAMPBELL BLVD,BEACH RIDGE RD,LOCKPORT RD,,2-WAY,1984,4750,,,"(43.127061, -78.761049)"
544134,Niagara,Lockport,MARKET ST,MATT MURPHY WAY,COLD SPRINGS RD,,2-WAY,2009,1279,1198,80,"(43.184274, -78.671156)"
530319,Erie,Tonawanda,TWIN CITIES HWY,ELLICOTT CREEK RD,FILLMORE AV,BETWEEN,2-WAY,2011,28015,,,"(43.013599, -78.862846)"
530046WB,Erie,BUFFALO,WILLIAM ST,MICHIGAN AVE,PINE ST,BETWEEN,,2023,2354,,,"(42.884885, -78.866413)"
534797,Erie,Grand Island,STALEY RD,I-190,NY 324 GRAND ISLAND BLVD,,2-WAY,2018,4350,4111,238,"(43.007235, -78.95127)"
534549,Erie,Buffalo,ERIE ST,LOWER TERRACE,FRANKLIN ST,,1-WAY,2006,1600,,,"(42.881853, -78.878124)"
535123,Erie,Cheektowaga,Verdun Pl,Roy Aly,Genesee St,,2-WAY,2014,92,,,"(42.922936, -78.776017)"
540926,Niagara,Wheatfield,WILLIAMS RD,RT 265/384 RIVER RD,LASALLE EXPWY,,2-WAY,1992,10000,,,"(43.071852, -78.940458)"
535346,Erie,BUFFALO,N PARKER AVE,KENMORE AVE,SAINT LAWRENCE AVE,BETWEEN,,2022,1322,,,"(42.957019, -78.838331)"
544125,Niagara,Lockport,LOWER MTN RD,RT 270 CAMBRIA-LOCKPORT TOWN LINE RD,GOTHIC HILL RD,,2-WAY,2007,1300,,,"(43.18396, -78.746836)"
534074,Erie,Buffalo,BEST ST,JEFFERSON AV,WOHLERS AV,,2-WAY,1986,7200,,,"(42.903806, -78.851124)"
546133,Niagara,Niagara Falls,CAYUGA DR,TUSCARORA RD,91ST ST,,2-WAY,2002,4400,,,"(43.088806, -78.959566)"
534875,Erie,Buffalo,WASHINGTON ST,RT 354 CLINTON ST,GENESEE ST,,2-WAY,2009,5350,5085,264,"(42.887857, -78.872578)"
541111,Niagara,Niagara Falls,WHIRLPOOL ST,CEDAR AV,RT 182 CLEVELAND AV,,2-WAY,1985,8300,,,"(43.103027, -79.055656)"
544201,Niagara,Porter,RANSOMVILLE RD,PORTER TOWN LN,BALMER RD,,2-WAY,1998,2400,,,"(43.222486, -78.910265)"
544216,Niagara,Lockport,STATE RD,SUMMIT ST,HIGH ST,,2-WAY,2005,3100,,,"(43.159803, -78.704663)"
544000,Niagara,Niagara Falls,10TH ST,NIAGARA ST,RT 62 (SB) FERRY AV,,2-WAY,2001,2100,,,"(43.089337, -79.050155)"
536282,Erie,Elma,WEST BLOOD RD,OSTRANDER RD,EAST AURORA-PORTERVILLE RD,BETWEEN,2-WAY,2015,1127,1046,80,"(42.793795, -78.587642)"
537053,Erie,Evans,EDEN-EVANS CENTER RD,BEACH RD,RT 20 SOUTHWESTERN BLVD,,2-WAY,2003,4900,,,"(42.652522, -78.986619)"
531315,Erie,Buffalo,E LOVEJOY ST,US 62 BAILEY AVE,NORTH OGDEN ST,,2-WAY,2012,3172,,,"(42.889737, -78.807034)"
530462,Erie,Cheektowaga,NYS THRUWAY,I-190 (M53),WILLIAM ST (M52A),BETWEEN,2-WAY,1971,58800,,,"(42.878496, -78.776135)"
534183,Erie,Clarence,COUNTY RD,STAHLEY RD,CONNER RD,,2-WAY,1998,5600,,,"(43.032996, -78.67404)"
540112,Niagara,Porter,LAKE RD (RT 18F),VILL OF YOUNGSTOWN/TN OF PORTER,TN OF PORTER RT 18,BETWEEN,,2021,626,,,"(43.268003, -79.036632)"
530266,Erie,Buffalo,NIAGARA THRUWAY,NIAGARA ST (N8),PORTER AV/PEACE BR (N9),BETWEEN,2-WAY,1991,69400,,,"(42.894595, -78.89411)"
540283,Niagara,Cambria/Lockport,LOCKPORT JUNCTION RD,END OLAP RT 104 STONE RD,CR5 UPPER MOUNTAIN RD,BETWEEN,2-WAY,2001,4500,,,"(43.173332, -78.754567)"
534434,Erie,Buffalo,HERTEL AVE,STARIN AV,RT 5 MAIN ST,,2-WAY,2019,8371,8123,247,"(42.947502, -78.838384)"
534951,Erie,Eden,E CHURCH ST,RT 62 MAIN ST,JENNINGS RD,BETWEEN,2-WAY,2011,1769,1629,139,"(42.652438, -78.889825)"
534720,Erie,Amherst,Renaissance Dr,Covent Garden Ln,NY 78 Transit Rd,,2-WAY,2016,4947,4902,44,"(42.996109, -78.705689)"
534539,Erie,Cheektowaga,LOSSON RD,RT 277 UNION RD,TOWERS BLVD,,2-WAY,1983,6100,,,"(42.88201, -78.747026)"
530025,Erie,Buffalo,MAIN ST,KENMORE AV,RT 62 BAILEY AV,BETWEEN,2-WAY,2007,28500,,,"(42.958488, -78.816347)"
546119,Niagara,Pendleton,FEIGLE RD,BEAR RIDGE RD,E CANAL RD,,2-WAY,2011,3701,3065,635,"(43.112948, -78.737847)"
534398,Erie,Buffalo,GRANT ST,FOREST AV,LETCHWORTH ST,,2-WAY,1998,11600,,,"(42.92917, -78.889217)"
534031,Erie,Amherst,AUDUBON PKWY,RT 263 MILLERSPORT HWY,FLINT RD,,2-WAY,2002,2600,,,"(42.995757, -78.789976)"
540900,Niagara,Niagara Falls,ROBT MOSES PKWY,I-190,QUAY ST,,2-WAY,1988,15800,,,"(43.07859, -79.02454)"
544215,Niagara,Lockport,STATE RD,RT 93 LKPT BYPASS,SUMMIT ST,,2-WAY,2019,7557,7247,309,"(43.15435, -78.709989)"
530142,Erie,Alden,GENESEE ST,RANSOM RD,WALDEN AVE,BETWEEN,2-WAY,1984,3250,,,"(42.945452, -78.56806)"
533814,Erie,Buffalo,I-190 @ Clinton St/Bailey Ave,,,,RAMP,2009,723,636,86,"(42.871889, -78.817447)"
534211,Erie,Buffalo,DELAVAN AVE (EAST),RT 62 BAILEY AV,BUFFALO CITY LN,,2-WAY,1985,9400,,,"(42.922728, -78.806348)"
540476,Niagara,Niagara Falls,BUFFALO AVE,I-190,RT 61 HYDE PARK BLVD,,2-WAY,2009,5320,,,"(43.078766, -79.006607)"
534296,Erie,Buffalo,ELMWOOD AVE,FOREST AV,IROQUOIS DR,,2-WAY,1976,16600,,,"(42.930929, -78.876987)"
544245,Niagara,Cambria,UPPER MTN RD,RT 425 SHAWNEE RD,THRALL RD,,2-WAY,2007,1700,,,"(43.161392, -78.80365)"
534889,Erie,Clarence,WEHRLE DR,GUNVILLE RD,SHISLER RD,,2-WAY,1996,4200,,,"(42.959924, -78.621737)"
534329,Erie,Buffalo,FILLMORE AVE,BROADWAY,SYCAMORE ST,,2-WAY,1984,12500,,,"(42.896026, -78.839294)"
530088,Erie,Hamburg,MILESTRIP EXPWY,RT 5 HAMBURG TURNPIKE,RT 62 SOUTH PARK AV,BETWEEN,2-WAY,2002,21700,,,"(42.789748, -78.836281)"
546117,Niagara,"PENDLETON, LOCKPORT",ROBINSON RD,BEAR RIDGE RD,E CANAL RD,BETWEEN,2-WAY,2000,11250,,,"(43.132981, -78.725023)"
534029,Erie,Hamburg,AMSDELL RD,RT 20 SOUTHWESTERN BLVD,ROGERS RD,,2-WAY,2003,2300,,,"(42.734942, -78.867421)"
540623,Niagara,Niagara Falls,HYDE PARK BLVD,PACKARD RD,RT 62 (SB) FERRY AV,,2-WAY,2006,5400,,,"(43.090363, -79.02218)"
540033,Niagara,Porter,L RIVER RD (RT 18F),LEWISTON/PORTER TN LN,YOUNGSTOWN S VILL LN,,2-WAY,2008,2575,,,"(43.232332, -79.05093)"
534485,Erie,Buffalo,KEATING ST (JAMES COPPOLA ST),ELK ST,I-190 SB OFF RAMP,,1-WAY,2007,4800,,,"(42.865581, -78.827241)"
530136,Erie,West Seneca,CENTER ST(RT 16),RT 277 UNION RD,LEIN RD,BETWEEN,2-WAY,1990,13700,,,"(42.839248, -78.723258)"
534692,Erie,Buffalo,PEARL ST,W TUPPER ST,EDWARD ST,,1-WAY,2016,4111,3946,164,"(42.894739, -78.872615)"
534950,Erie,Grand Island,E RIVER RD,WHITEHAVEN RD,STONY POINT RD,,2-WAY,1978,1200,,,"(43.053755, -78.921254)"
541001,Niagara,Niagara Falls,NIAGARA ST,5TH ST,QUAY ST,,2-WAY,2007,12500,,,"(43.088524, -79.054798)"
534269,Erie,Amherst,EGGERT RD,RT 62 BAILEY AV,NF BLVD,,2-WAY,2007,8200,,,"(42.978363, -78.818313)"
536323,Erie,Grand Island,WHITEHAVEN RD,STONY POINT RD,E RIVER PKWY,BETWEEN,2-WAY,1985,1500,,,"(43.022192, -78.921761)"
544203,Niagara,Porter,RANSOMVILLE RD,RT 93 YOUNGSTOWN-LOCKPORT RD,BRALEY RD,,2-WAY,1983,2500,,,"(43.250745, -78.909522)"
534320,Erie,Buffalo,FERRY ST (WEST),GRANT ST,RICHMOND AV,,2-WAY,2011,6036,5694,341,"(42.915374, -78.886524)"
536435,Erie,Buffalo,LOUISIANA ST,I-190 RAMP,SENECA ST,BETWEEN,2-WAY,2015,3660,3505,154,"(42.877517, -78.862632)"
530373,Erie,Newstead,MAIN ST,CRITTENDEN RD,GENESEE CO LN,BETWEEN,2-WAY,1996,5600,,,"(42.998141, -78.471238)"
535265,Erie,HAMBURG,BROOKWOOD DR,HOLIDAY LN,FORESTAL DR,BETWEEN,,2022,1509,,,"(42.735922, -78.854008)"
540101,Niagara,Niagara Falls,PINE AVE,RT 104 MAIN ST,PORTAGE RD,,2-WAY,2009,6400,,,"(43.094629, -79.052478)"
544257,Niagara,Lockport,WASHBURN ST,HIGH ST,GENESEE ST,,2-WAY,1998,7600,,,"(43.166465, -78.685914)"
540414,Niagara,Somerset,COUNTY LINE RD,HARTLAND-SOMERSET TOWNLINE RD,RT 18 LAKE RD,,2-WAY,1999,750,,,"(43.322479, -78.466174)"
534808,Erie,Clarence,STRICKLER RD,RT 5 MAIN ST,GREINER RD,,2-WAY,2010,2649,1930,718,"(42.982533, -78.607231)"
533324,Erie,Tonawanda,I-190 @ Grand Island Blvd,,,,RAMP,2014,3203,,,"(42.985541, -78.912815)"
530262,Erie,Boston,BOSTON STATE RD,RT 277 HERMAN HILL RD,RT 219,BETWEEN,2-WAY,1982,8500,,,"(42.689794, -78.781511)"
541106,Niagara,North Tonawanda,NASH RD,MEADOW DR,RUIE RD,,2-WAY,1991,14400,,,"(43.059339, -78.865775)"
534970,Erie,Evans,S CREEK RD,OLD LAKE SHORE RD,RT 5 ERIE RD,,2-WAY,2012,503,,,"(42.71005, -78.966449)"
534337,Erie,Buffalo,FILLMORE AVE,KENSINGTON AV,RT 5 MAIN ST,,2-WAY,1991,7700,,,"(42.932194, -78.839253)"
534279,Erie,BUFFALO,ELK STREET,KEATING STREET,RT 62 BAILEY AVENUE,BETWEEN,,2021,8239,,,"(42.864995, -78.826561)"
536235,Erie,Hamburg,WILLET RD,MCKINLEY PKWY,ABBOTT RD,,2-WAY,2013,5848,5769,78,"(42.804482, -78.805911)"
530560,Erie,Grand Island,NIAGARA THRUWAY,WHITEHAVEN (N19),LONG RD (N20),BETWEEN,2-WAY,1981,26900,,,"(43.035247, -78.983567)"
534545,Erie,Grand Island,LOVE RD,BASE LINE RD,SOUTH STATE PKWY,,2-WAY,2013,3092,2997,94,"(42.996063, -78.961986)"
540088,Niagara,Niagara Falls,ONTARIO AVE,LOCKPORT ST,22ND ST,,2-WAY,1991,4900,,,"(43.108632, -79.040499)"
540003,Niagara,Porter,YOUNGTN-LKPT RD,ROBERT MOSES PKWY (PORTER TL),RT 18 CREEK RD,,2-WAY,1976,1650,,,"(43.2565, -79.017546)"
530292,Erie,Tonawanda,SHERIDAN DR,RT 265 MILITARY RD,ELMWOOD AV,BETWEEN,2-WAY,1997,18800,,,"(42.980941, -78.881666)"
531104,Erie,Amherst/Buffalo,KENMORE AVE,NF BLVD,RT 5 MAIN ST,,2-WAY,2011,12050,,,"(42.958095, -78.822712)"
541105,Niagara,North Tonawanda,NASH RD,DIVISION ST,WALCK RD,,2-WAY,1992,12300,,,"(43.042053, -78.86526)"
534158,Erie,Clarence,CLARENCE CNTR RD,SHIMERVILLE RD,STAHLEY RD,BETWEEN,2-WAY,2012,5675,,,"(43.015838, -78.662474)"
530175,Erie,Orchard Park,CHESTNUT RIDGE,POWERS RD,RT 240 ELLICOTT RD,BETWEEN,2-WAY,2006,5800,,,"(42.742052, -78.748074)"
544145,Niagara,Wheatfield,NASH RD,ERRICK RD,LOCKPORT RD,,2-WAY,2002,3400,,,"(43.117613, -78.870072)"
546039,Niagara,Pendleton,BEAR RIDGE RD,RT 270 CAMPBELL BLVD,FEIGLE RD,,2-WAY,1984,2500,,,"(43.103807, -78.745682)"
534826,Erie,BUFFALO,SYCAMORE ST,JEFFERSON AV,HERMAN ST,BETWEEN,,2021,3114,,,"(42.894532, -78.849113)"
534922,Erie,Boston,ZIMMERMAN RD,FEDDICK RD,RICE RD,,2-WAY,1999,1100,,,"(42.62597, -78.769451)"
530282,Erie,Amherst,MILLERSPORT HWY,FLINT RD,MAPLE RD,BETWEEN,2-WAY,2015,27062,,,"(42.99026, -78.789309)"
547027,Niagara,Royalton,CARMEN RD,NY31,WATSON AVE,,2-WAY,2016,2763,,,"(43.208231, -78.490504)"
540567,Niagara,Niagara Falls,NIAGARA THRUWAY,RT 62 NF BLVD,RT 182 PORTER AV,,2-WAY,2000,31300,,,"(43.103188, -78.982531)"
534854,Erie,Tonawanda,STARIN AVE,KENMORE AV,ENGLEWOOD AV,,2-WAY,2014,3276,3243,32,"(42.962883, -78.843888)"
530477,Erie,Buffalo,MAIN ST,MAIN ST,NORTH ST (GOODELL ST TO NORTH ST),BETWEEN,2-WAY,2002,7700,,,"(42.899067, -78.870002)"
540072,Niagara,Niagara,PACKARD RD,RT 265 MILITARY RD,PORTER/PACKARD RD,,2-WAY,1991,19400,,,"(43.108949, -78.985019)"
536241,Erie,Hamburg,EAST EDEN RD,HAMBURG VILL LN,RT 62/391 MAIN ST,BETWEEN,2-WAY,2006,2800,,,"(42.712272, -78.829823)"
540327,Niagara,Lockport,ROBINSON RD,RT 78 TRANSIT RD,BEATTIE AV,,2-WAY,1983,4500,,,"(43.132133, -78.688864)"
534359,Erie,Cheektowaga,GALLERIA DR,RT 277 UNION RD,EAST DR,,2-WAY,2006,13500,,,"(42.916026, -78.75626)"
534531,Erie,Buffalo,LEROY AVE,FILLMORE AV,KENSINGTON AV,,2-WAY,2009,2751,2637,113,"(42.932777, -78.835648)"
540919,Niagara,Lockport,WALNUT ST,WASHBURN ST,POUND ST,BETWEEN,2-WAY,2011,6825,,,"(43.171156, -78.681889)"
533248,Erie,West Seneca,NY 400 @ Seneca St,,,,RAMP,2013,2005,,,"(42.84797, -78.777834)"
534955,Erie,Grand Island,FIX RD,BASELINE RD,EAST RIVER RD,,2-WAY,2011,1660,1570,89,"(42.984321, -78.957587)"
534297,Erie,Buffalo,ELMWOOD AVE,HERTEL AV,KENMORE AV,,2-WAY,1994,24400,,,"(42.949721, -78.878235)"
544260,Niagara,North Tonawanda,WEBSTER ST,GOUNDRY ST,RT 384 MAIN ST,,2-WAY,2004,1700,,,"(43.024707, -78.877071)"
544010,Niagara,NIAGARA FALLS,24TH ST,RT 62A PINE AVE,PIERCE AVE,BETWEEN,,2023,2262,,,"(43.098611, -79.033566)"
530337,Erie,Buffalo,MAIN ST,NF BLVD,KENMORE AV,BETWEEN,2-WAY,1985,19100,,,"(42.954335, -78.822403)"
534849,Erie,Buffalo,UTICA ST (WEST),MASSACHUSETTS AV,RICHMOND AV,,2-WAY,2008,4700,,,"(42.91132, -78.88457)"
530021,Erie,Buffalo,RT 5,RIDGE RD,TIFFT ST,BETWEEN,2-WAY,2014,44497,,,"(42.833209, -78.853523)"
533086,Erie,Buffalo,NY 5 - Outer Harbor Dr,,,,RAMP,2015,231,,,"(42.86176, -78.872741)"
545142,Niagara,North Tonawanda,Linwood Ave,15th Ave,18th Ave,BETWEEN,1-WAY,2015,519,,,"(43.103527, -79.04037)"
534776,Erie,Clarence,SHIMERVILLE RD,RT 324 SHERIDAN DR,GREINER RD,,2-WAY,1993,3100,,,"(42.979739, -78.66212)"
530300,Erie,Hamburg,CAMP RD,RT 20 SOUTHWESTERN BLVD,JCT NY950J CAMP RD,BETWEEN,2-WAY,1991,19600,,,"(42.763335, -78.863468)"
534785,Erie,Buffalo,SMITH ST,FILLMORE AV,EAGLE ST,,2-WAY,2014,911,899,11,"(42.876742, -78.844062)"
540929,Niagara,Lewiston,UPPER MTN RD,I-190,RT 265 MILITARY RD,,2-WAY,2008,4950,,,"(43.151971, -79.030122)"
544071,Niagara,Niagara Falls,FOURTH ST,RT 62 (SB) FERRY AV,RT 104 MAIN ST/RT 62 (NB) WALNUT AV,,1-WAY,1993,1700,,,"(43.092244, -79.058156)"
533426,Erie,Tonawanda,I-290 @ Colvin Blvd,,,,RAMP,2015,15840,,,"(43.001038, -78.851087)"
537012,Erie,Aurora,OLD GLENWOOD RD,NY 240 DAVIS RD,NY 240 DAVIS RD,,2-WAY,,,,,"(42.717088, -78.681681)"
534983,Erie,Clarence,THOMPSON RD,GREINER RD,CLARENCE CENTER RD,,2-WAY,2007,1300,,,"(43.000062, -78.647086)"
530270,Erie,Lancaster,TRANSIT RD,RT 20 BROADWAY,WALDEN AV,BETWEEN,2-WAY,2007,27850,,,"(42.90847, -78.696898)"
534017,Erie,Buffalo,ALLEN ST,FRANKLIN ST,RT 5 MAIN ST,,2-WAY,2001,4800,,,"(42.899413, -78.870538)"
530100,Erie,Concord,VAUGHN ST (RT 240),ERIE CO LN,RT 39 E MAIN ST,BETWEEN,2-WAY,2000,2100,,,"(42.50268, -78.641489)"
544115,Niagara,Niagara Falls,LOCKPORT ST,RT 104 MAIN ST,11TH ST,,2-WAY,1977,3900,,,"(43.10407, -79.050118)"
530016,Erie,Concord,ALLEN ST(240),GENESEE RD,CR30 CONCORD/SARDINIA TOWN LN,BETWEEN,2-WAY,2003,2400,,,"(42.55704, -78.637304)"
530037,Erie,Tonawanda,YOUNGMANN EXPWY,RT 384 DELAWARE AV RT 425,COLVIN BLVD,BETWEEN,2-WAY,1999,88700,,,"(42.995922, -78.862524)"
534572,Erie,Hamburg,MCKINLEY PKWY,NEWTON RD,CLARK ST,BETWEEN,2-WAY,2009,8329,8040,288,"(42.726568, -78.812962)"
534478,Erie,Buffalo,JEFFERSON AVE,E FERRY ST,EAST DELAVAN ST,BETWEEN,2-WAY,2008,4900,,,"(42.918263, -78.85397)"
534690,Erie,Buffalo,PEARL ST,CHURCH ST,COURT ST,,1-WAY,2012,4270,,,"(42.883905, -78.876171)"
520103,Erie,Evans,NYS THRUWAY,SILVER CREEK (M58),ERIE CO LN,BETWEEN,2-WAY,1990,20000,,,"(42.559087, -79.098301)"
530445,Erie,Alden,BROADWAY,TOWN LINE RD,ALDEN CRITTENDEN RD,BETWEEN,2-WAY,2009,11650,,,"(42.891671, -78.532538)"
544242,Niagara,Niagara Falls,TUSCARORA RD,RT 62 NF BLVD,NIAGARA TN LN,,2-WAY,2018,3877,3804,72,"(43.092285, -78.96422)"
540069,Niagara,Niagara Falls,CLEVELAND AVE,RT 104 MAIN ST,11TH ST,,2-WAY,1994,3200,,,"(43.106781, -79.050284)"
534017,Erie,Buffalo,ALLEN ST,FRANKLIN ST,RT 5 MAIN ST,,2-WAY,2009,4497,4416,80,"(42.899413, -78.870538)"
534815,Erie,Buffalo,SUMMER ST,RICHMOND AV,ELMWOOD AV,,2-WAY,2012,4542,4471,70,"(42.904715, -78.878254)"
536493,Erie,Lackawanna,ELECTRIC AVE,LACKAWANA S CITY LN,KIRBY AVE,,2-WAY,2016,3020,2932,87,"(42.812695, -78.828305)"
534713,Erie,Buffalo,PROSPECT ST,VIRGINIA ST,PENNSYLVANIA ST,,1-WAY,2006,1600,,,"(42.8963, -78.885798)"
532067,Erie,Orchard Park,JEWETT-HOLMWOOD,RT 277 S BUFFALO ST,FREEMAN RD,,2-WAY,2008,8600,,,"(42.750926, -78.740422)"
534945,Erie,Cheektowaga,DOAT ST,BUFFALO CITY LN,PINE RIDGE RD,,2-WAY,2009,3009,2935,73,"(42.909493, -78.798323)"
534104,Erie,Tonawanda,BRIGHTON RD,COLVIN BLVD,EGGERT RD,,2-WAY,2011,6753,6592,160,"(42.9911, -78.847992)"
534152,Erie,Buffalo,CHIPPEWA ST (WEST),RT 384 DELAWARE AV,FRANKLIN ST,,2-WAY,2007,7300,,,"(42.890575, -78.875656)"
536271,Erie,Holland,HOLLAND-GLENWOOD RD,WARNER GULF RD,NY 16,,2-WAY,2007,1900,,,"(42.635585, -78.541764)"
536046,Erie,Buffalo,I-190 @ Niagara St,,,,RAMP,2012,6740,,,"(42.890917, -78.887908)"
534887,Erie,LAN/CLAR,WEHRLE DR,RT 78 TRANSIT RD,HARRIS HILL RD,,2-WAY,1982,6000,,,"(42.956242, -78.683267)"
530074,Erie,Cheektowaga,HARLEM RD,GENESEE ST,RT 33 KENSINGTON EXPWY,BETWEEN,2-WAY,2000,21400,,,"(42.927583, -78.784204)"
544217,Niagara,Lockport,STATE RD,HIGH ST,RT 78 TRANSIT RD,,2-WAY,2000,1900,,,"(43.165807, -78.698268)"
534063,Erie,Tonawanda,BELMONT AVE,ENGLEWOOD AV,RT 324 SHERIDAN DR,,2-WAY,2017,6867,6727,139,"(42.977651, -78.852943)"
534429,Erie,Buffalo,HERTEL AVE,RT 265 MILITARY RD,ELMWOOD AV,BETWEEN,2-WAY,2010,10950,,,"(42.946653, -78.889176)"
544085,Niagara,Lockport,HINMAN RD,RT 270 CAMBRIA-LOCKPORT TOWN LINE RD,LOCKPORT CITY LN,,2-WAY,1995,1000,,,"(43.146675, -78.742506)"
546032,Niagara,Niagara Falls,LOCKPORT ST,NORTH AV,RT 61 HYDE PARK BLVD,BETWEEN,2-WAY,1988,5600,,,"(43.110858, -79.039059)"
530017,Erie,Evans,ERIE RD,STURGEON PT RD,OLD LAKESHORE RD,BETWEEN,2-WAY,2010,14150,,,"(42.707882, -78.965628)"
534919,Erie,Amherst,YOUNGS RD,RT 324 SHERIDAN DR,MAPLE RD,,2-WAY,2008,15900,,,"(42.982136, -78.724842)"
542044,Niagara,PENDLETON/WHEATFIELD,PENDLETON/WHEATFIELD TOWN LINE RD,BEACH RIDGE RD,LOVELAND RD,,2-WAY,2014,2895,,,"(43.084359, -78.823309)"
544342,Niagara,Lockport,TONAWANDA CRK RD,MINNICK RD,RAPIDS RD,,2-WAY,2009,2313,2161,151,"(43.087946, -78.650906)"
546074,Niagara,Wheatfield,NIAGARA RD,BINKLEY ST,RT 429 WARD RD,,2-WAY,1993,4500,,,"(43.103111, -78.89802)"
530362,Erie,Amherst,LOCKPORT EXPWY,SWEET HOME RD,AUDUBON PKWY,BETWEEN,2-WAY,2005,39608,,,"(43.023345, -78.791108)"
540043,Niagara,Lewiston,Ridge Rd,ROBERT MOSES PKWY,RT 18 CREEK RD,,2-WAY,1991,7200,,,"(43.173197, -79.022449)"
530920,Erie,West Seneca,POTTERS RD,WEST SENECA TN LN,RT 240,BETWEEN,2-WAY,1991,13500,,,"(42.83896, -78.798942)"
530557,Erie,Tonawanda,NIAGARA THRUWAY,BUFFALO N CITY LN,RT 324 SHERIDAN DR (N15),BETWEEN,2-WAY,2003,62000,,,"(42.959893, -78.917542)"
540050,Niagara,Lewiston,NIAGARA THRUWAY,RT 104/RT 265,LEWISTON-QUEENSTON BRIDGE END I-190,BETWEEN,2-WAY,1984,6814,5245,1569,"(43.152953, -79.044313)"
540130,Niagara,Lockport,WEST AVE,LOCKPORT W CITY LN,PROSPECT ST,BETWEEN,2-WAY,2005,9000,,,"(43.167514, -78.704519)"
544092,Niagara,Lockport,LINCOLN AVE,RT 78 TRANSIT RD,LINCOLN DR,,2-WAY,2020,2165,2129,35,"(43.154206, -78.695825)"
534840,Erie,Tonawanda,TWO MILE CK RD,KENMORE AV,RT 324 GRAND ISLAND BLVD,,2-WAY,2007,3600,,,"(42.978271, -78.909237)"
534455,Erie,Buffalo,HURON ST (WEST),RABIN TERRACE,S ELMWOOD AV,,1-WAY,1987,2900,,,"(42.889629, -78.879073)"
530543,Erie,Buffalo,NIAGARA THRUWAY,I-90 (M53),OGDEN ST (N1),BETWEEN,2-WAY,1987,34900,,,"(42.87609, -78.795834)"
540084,Niagara,Cambria,SHAWNEE RD,UPPER MT RD,LOWER MT RD,,2-WAY,2009,2100,,,"(43.170632, -78.840806)"
535016,Erie,Amherst,Brian Ave,End,Country Pkwy,,2-WAY,2014,166,,,"(42.986218, -78.715798)"
530004,Erie,Amherst,SHERIDAN DR,RT 240 HARLEM RD,I-290 YOUNGMANN EXPWY,BETWEEN,2-WAY,1982,24400,,,"(42.978591, -78.783702)"
540131,Niagara,Lockport,W GENESEE ST,PROSPECT ST,RT 78 TRANSIT RD,,2-WAY,2015,6134,5646,487,"(43.167658, -78.699049)"
M4166,Erie,Lancaster,NYS THRUWAY,Pembroke/Medina/NY 77 (Exit 48A),Depew/Lockport/NY 78 (Exit 49),BETWEEN,2-WAY,2001,42000,,,"(42.94914, -78.69031)"
534904,Erie,Buffalo,WILLIAM ST,RT 62 BAILEY AV,BUFFALO CITY LN,,2-WAY,2008,9900,,,"(42.884722, -78.806874)"
533013,Erie,Cheektowaga,I-90 @ Exit 51 NY 33,,,,RAMP,2015,11232,10755,477,"(42.930984, -78.767295)"
534294,Erie,Buffalo,ELMWOOD AVE,W FERRY ST,W DELAVAN AV,,2-WAY,1990,19500,,,"(42.919719, -78.877019)"
530031,Erie,Newstead,MAIN ST,RT 93 BUELL RD,CRITTENDEN RD,BETWEEN,2-WAY,2001,8100,,,"(42.998401, -78.491548)"
